1917,Maxwell,25,"$39,000","4,868",0
1920,HCS,Series,"$59,000","2,083",1
1920,Dodge,Custom,"$59,000","3,995",3
1923,Buick,Series,"$26,000","2,442",1
1923,Ford,Model,"$52,000","11,542",3
1923,Ford,T-Bucket,"$30,000","2,720",0
1923,Ford,T-Bucket,"$32,000",955,1
1923,Ford,T-Bucket,"$25,000","6,933",2
1923,Ford,Model,"$15,000","10,159",0
1924,Ford,Model,"$13,000","5,718",0
1924,Dodge,Roadster,"$33,000","1,432",0
1925,Buick,Phaeton,"$26,000","3,309",2
1925,Nash,Sedan,"$20,000","5,207",2
1925,Ford,Model,"$21,000","6,898",6
1925,REO,Roadster,"$30,000","6,241",0
1925,Ford,Model,"$16,500","1,440",1
1926,Nash,Special,"$26,000","8,593",2
1926,Ford,Model,"$15,000","18,176",4
1926,Buick,Roadster,"$24,000","11,793",3
1926,Chevrolet,Roadster,"$46,000",61,0
1926,Ford,Model,"$58,000","15,541",5
1927,Ford,Model,"$39,000","6,478",2
1927,Hudson,Super,"$42,000","3,023",0
1927,Ford,T-Bucket,"$20,000","6,039",5
1928,Ford,Model,"$49,000","8,901",0
1928,Pontiac,Sedan,"$33,000","1,671",3
1928,Ford,Tudor,"$59,000","3,208",1
1928,Ford,T-Bucket,"$31,000","7,869",3
1929,Ford,Model,"$19,000","11,486",6
1929,Ford,Model,"$39,000","4,148",0
1929,Ford,Model,"$29,000","3,107",0
1929,Ford,Model,"$25,000","5,081",3
1929,Ford,MODEL,"$26,000","4,008",2
1929,Willys,Knight,"$47,000","3,119",0
1929,Ford,Sedan,"$33,000","5,758",4
1929,Ford,Model,"$42,000","6,027",3
1929,Ford,Model,"$49,000","5,040",1
1929,Ford,Model,"$33,000","1,995",2
1929,Ford,Model,"$47,000",244,0
1929,Ford,Model,"$22,000","4,501",0
1929,Ford,Roadster,"$24,000","11,061",4
1929,Plymouth,Model,"$22,500","2,256",1
1929,Ford,Model,"$41,000","10,091",5
1929,Ford,Roadster,"$34,000",422,1
1929,Ford,Model,"$26,000","4,237",3
1929,Ford,Roadster,"$59,000","35,849",7
1929,Ford,Model,"$26,000",766,0
1929,Ford,Model,"$36,000","2,892",1
1929,Ford,Model,"$24,000","2,099",2
1929,Mercedes,Gazelle,"$15,000","2,444",1
1930,Ford,Model,"$33,000","5,837",1
1930,Ford,Model,"$52,000","4,167",1
1930,Ford,Model,"$19,000","2,920",1
1930,Chevrolet,AD,"$25,000","2,076",1
1930,Ford,Coupe,"$39,000","2,071",0
1930,Ford,Model,"$56,000","5,065",1
1930,Ford,Model,"$15,500","5,154",4
1930,Ford,Model,"$28,000","11,263",4
1930,Ford,Model,"$43,000","1,039",2
1930,Ford,Street,"$38,000","11,882",6
1930,Ford,Roadster,"$51,000",621,3
1930,Ford,Tudor,"$18,000","3,273",2
1930,Ford,Model,"$42,000","2,856",0
1930,Ford,Model,"$19,000","6,459",1
1930,Ford,3,"$49,000","5,182",3
1930,Ford,Model,"$29,000","4,057",1
1930,Ford,Model,"$52,000","2,046",3
1930,Ford,Model,"$49,000","3,263",6
1930,Ford,Model,"$39,000","9,622",2
1931,Ford,Model,"$72,000","3,504",0
1931,Chevrolet,Street,"$39,000","3,970",0
1931,Ford,MODEL,"$25,000","5,910",3
1931,Ford,Model,"$30,000","7,607",1
1931,Ford,5,"$49,000","2,072",3
1931,Ford,Sedan,"$46,000","4,122",3
1931,Ford,Model,"$39,000","9,345",7
1931,Ford,Model,"$30,000","1,114",1
1931,Ford,MODEL,"$24,000","2,723",2
1931,Ford,Tudor,"$37,000","4,045",0
1931,Buick,Series,"$65,000","8,504",6
1931,Chevrolet,Independence,"$39,000","22,842",5
1932,Ford,Model,"$85,000","2,468",0
1932,Ford,Sedan,"$125,000","42,990",1
1932,Ford,Hi-Boy,"$49,000","10,323",6
1932,Ford,5,"$39,000","12,365",6
1932,Ford,3,"$46,000","4,600",2
1932,Ford,Coupe,"$50,000","4,441",0
1932,Ford,Phaeton,"$104,000","1,195",1
1932,Ford,Highboy,"$62,000","1,014",1
1932,Ford,Rodster,"$39,000","5,042",3
1932,Austin,Bantam,"$12,500","3,826",1
1932,Chevrolet,Sedan,"$17,000","3,249",4
1932,Ford,3,"$38,000","2,592",2
1932,Ford,Roadster,"$52,000","3,970",0
1932,Ford,Roadster,"$56,000","3,975",4
1932,Ford,3,"$49,000","6,200",0
1932,Ford,Roadster,"$51,000","3,484",2
1932,Ford,Roadster,"$85,000","1,585",0
1932,Ford,Roadster,"$49,000",469,1
1932,Ford,3,"$73,000","16,559",2
1932,Ford,Roadster,"$30,000","2,659",0
1932,Ford,Roadster,"$85,000","7,684",7
1932,Chevrolet,3,"$85,000","20,175",6
1932,Ford,Coupe,"$78,000","7,125",2
1932,Ford,3,"$42,000","3,082",2
1932,Ford,Cabriolet,"$52,000","4,206",1
1932,Ford,Roadster,"$76,000","5,363",6
1932,Ford,5,"$42,000","8,093",4
1932,Ford,Roadster,"$97,000","6,235",2
1933,Chevrolet,Phaeton,"$72,000","10,003",5
1933,Ford,Vicky,"$45,000","3,787",1
1933,Ford,Roadster,"$100,000","5,491",1
1933,Ford,3,"$72,000","6,769",2
1933,Ford,Crown,"$50,000","11,006",4
1933,Ford,Woody,"$169,000","2,735",0
1933,Ford,Vicki,"$98,000","5,272",1
1933,Ford,Phaeton,"$63,000","6,893",2
1933,Plymouth,Coupe,"$52,000","1,375",0
1933,Chevrolet,Tudor,"$46,000","19,016",7
1933,Chevrolet,5,"$122,000","5,894",2
1933,Ford,Vicky,"$59,000","4,469",1
1933,Ford,Sedan,"$33,000","1,165",1
1933,Ford,Coupe,"$36,000","2,043",1
1933,Ford,Coupe,"$78,000","2,550",0
1933,Willys,Gasser,"$62,000","11,410",1
1934,Ford,Coupe,"$65,000","3,648",1
1934,Ford,Tudor,"$42,000","6,639",1
1934,Packard,Eight,"$85,000","3,016",2
1934,Chevrolet,Pickup,"$39,000","5,237",3
1934,Ford,Sedan,"$69,000","3,310",1
1934,Ford,3,"$46,000","2,584",0
1934,Redneck,Street,"$47,000","4,166",0
1934,Chevrolet,Coupe,"$55,000","3,595",0
1934,REO,Flying,"$46,000","5,771",6
1934,Chevrolet,Sedan,"$46,000","3,457",0
1934,Chevrolet,Pickup,"$37,000","1,193",1
1934,Chevrolet,Pickup,"$91,000","2,785",1
1934,Buick,Model,"$104,000","15,954",9
1934,Ford,Victoria,"$65,000","5,433",5
1934,Chevrolet,Master,"$169,000","9,881",1
1934,Ford,Deluxe,"$98,000","1,466",0
1934,Ford,Model,"$98,000",74,0
1934,Plymouth,PE,"$47,000","4,618",1
1934,Buick,47,"$41,000","2,998",2
1934,Chevrolet,3,"$84,000","12,385",3
1934,Ford,Pickup,"$39,000","10,141",7
1935,Harley,Davidson,"$29,000","2,989",2
1935,Chevrolet,Master,"$104,000","2,619",1
1935,Ford,Sedan,"$45,000","1,302",0
1935,Studebaker,Dictator,"$99,000","7,274",1
1935,Chevrolet,Master,"$46,000","1,745",0
1935,Ford,Deluxe,"$69,000","4,314",1
1935,Chevrolet,Master,"$69,000","5,283",1
1935,Chrysler,Imperial,"$50,000","6,228",1
1935,Plymouth,PJ,"$24,000","11,827",5
1936,Ford,Sedan,"$29,000","1,621",1
1936,Ford,5,"$29,000","3,159",3
1936,Chevrolet,C10,"$36,000","10,510",2
1936,Ford,Model,"$30,000","2,298",1
1936,Ford,Truck,"$25,000","3,012",1
1936,Mercedes-Benz,500K,"$21,000","2,633",0
1936,Chevrolet,Master,"$26,000","2,058",0
1936,Chevrolet,Master,"$24,000","6,413",4
1936,Packard,120,"$22,000","12,795",4
1936,Ford,Sedan,"$39,000","6,749",2
1936,Ford,Roadster,"$43,000","6,494",5
1936,Dodge,D2,"$33,000",639,0
1937,Chevrolet,1/2,"$52,000",473,0
1937,Chevrolet,Pickup,"$28,000","12,789",4
1937,Ford,Sedan,"$63,000","2,186",2
1937,Chrysler,Desoto,"$21,000","1,324",0
1937,Buick,Century,"$33,000","3,437",2
1937,Ford,Coupe,"$65,000","1,445",0
1937,Chevrolet,Master,"$32,000","6,975",4
1937,Ford,Convertible,"$84,000","11,064",6
1937,Ford,Coupe,"$56,000","3,054",0
1937,Ford,Coupe,"$39,000","4,623",2
1937,Buick,Sedan,"$26,000","4,137",3
1937,Packard,1508,"$122,000","3,409",0
1937,Dodge,5,"$76,000","4,569",1
1937,Packard,Six,"$38,000","5,044",4
1937,Ford,Tudor,"$27,000","4,405",3
1937,Ford,Phantom,"$54,000","6,167",3
1937,Ford,Phaeton,"$39,000","4,631",3
1937,Ford,Slantback,"$24,000","9,411",5
1937,Dodge,D5,"$49,000","8,056",4
1937,Packard,Convertible,"$91,000","3,750",2
1937,Ford,Roadster,"$34,000","7,414",4
1937,Dodge,Sedan,"$36,000","3,202",0
1937,Chrysler,AirFlow,"$42,000","3,057",2
1938,Chevrolet,Tanker,"$65,000","11,243",6
1938,Hudson,Terraplane,"$29,000","1,698",1
1938,Plymouth,Sedan,"$26,000","4,197",2
1938,Buick,91L,"$35,000","5,892",0
1938,Chevrolet,Sedan,"$67,000","4,193",0
1938,Chevrolet,Pickup,"$109,000","6,478",0
1938,Ford,5,"$49,000","5,644",1
1938,Ford,Club,"$29,000","2,103",0
1938,Chevrolet,Master,"$39,000","4,747",0
1938,Chevrolet,Master,"$33,000","2,333",0
1938,Chevrolet,Master,"$121,000","4,111",1
1938,Chevrolet,Business,"$66,000","6,772",2
1939,Ford,Deluxe,"$137,000","2,330",0
1939,Ford,F1,"$24,000","9,813",2
1939,Chevrolet,Master,"$54,000",618,2
1939,Chevrolet,Master,"$45,000","9,445",9
1939,Cadillac,LaSalle,"$45,000","12,097",4
1939,Chevrolet,5,"$65,000","24,364",5
